"filename", "language", "XML", "C#", "Markdown", "JSON", "C++", "PowerShell", "Log", "Batch", "comment", "blank", "total"
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Components.Web.xml", "XML", 1148, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1150
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Components.xml", "XML", 2861, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2869
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Connections.Abstractions.xml", "XML", 278, 0, 0, 0, 0, 0, 0, 0, 0, 1, 279
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.CookiePolicy.xml", "XML", 63, 0, 0, 0, 0, 0, 0, 0, 0, 1, 64
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Cors.xml", "XML", 599, 0, 0, 0, 0, 0, 0, 0, 0, 1, 600
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Cryptography.Internal.xml", "XML", 164, 0, 0, 0, 0, 0, 0, 0, 0, 1, 165
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Cryptography.KeyDerivation.xml", "XML", 79, 0, 0, 0, 0, 0, 0, 0, 0, 1, 80
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.DataProtection.Abstractions.xml", "XML", 311, 0, 0, 0, 0, 0, 0, 0, 0, 1, 312
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.DataProtection.Extensions.xml", "XML", 208, 0, 0, 0, 0, 0, 0, 0, 0, 1, 209
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.DataProtection.xml", "XML", 2164, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2166
